ID,유형,제목(원문),설명(원문),URL,게시일,수정일,진행방식,개방성,모집방식,복잡성수준,양극화수준,방법유형1,방법유형2,방법유형3,상호작용1,상호작용2,상호작용3,목적1,목적2,목적3,제목(한국어-자동),설명(한국어-자동),요약(1문장-자동),워크북_추천사용상황,진행자_한줄팁,태그(필터용)
145,method,21st Century Town Meeting®,21st Century Town Meetings® are public forums that use modern communications technologies to allow large number of participants across various locations to simultaneously deliberate on the same issue in small groups. ,https://participedia.net/method/145,2009-07-29,2020-08-31,both,open_to,stratified,moderate,polarized,deliberative, collaborative,,discussion, ask,,make, develop,,21세기 타운 미팅®,21세기 타운 미팅(21st Century Town Meetings®)은 현대 통신 기술을 활용하여 다양한 지역에 흩어져 있는 많은 참가자들이 소규모 그룹으로 동시에 동일한 사안에 대해 토론할 수 있도록 하는 공개 포럼입니다.,21세기 타운 미팅(21st Century Town Meetings®)은 현대 통신 기술을 활용하여 다양한 지역에 흩어져 있는 많은 참가자들이 …,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | collaborative | discussion | ask | make | develop
146,method,Participatory Budgeting,Participatory budgeting is a method of democratic decision-making whereby participants engage in deliberation regarding how public resources ought to be allocated and distributed. ,https://participedia.net/method/146,2009-08-22,2021-06-16,both,both,election,moderate,moderate,public, planning, longterm,discussion, negotiation, express,make, deliver,,참여형 예산 편성,참여형 예산 편성은 참여자들이 공공 자원을 어떻게 배분하고 분배해야 하는지에 대해 숙의하는 민주적 의사결정 방식입니다.,참여형 예산 편성은 참여자들이 공공 자원을 어떻게 배분하고 분배해야 하는지에 대해 숙의하는 민주적 의사결정 방식입니다.,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,public | planning | longterm | discussion | negotiation | express | make | deliver
147,method,Deliberative Polling®,Deliberative Polling® is a unique form of political consultation which combines public opinion research and deliberation to identify how public opinion on an issue might appear if citizens were better informed.,https://participedia.net/method/147,2009-11-06,2025-10-15,both,limited,random,very_high,high,deliberative, experiential,,discussion, ask,,make, develop, academic,숙의형 여론조사®,숙의형 여론조사(Deliberative Polling®)는 시민들이 특정 사안에 대해 더 많은 정보를 얻었을 때 여론이 어떻게 달라질지 파악하기 위해 여론 조사와 숙의 과정을 결합한 독특한 형태의 정치 자문 방식입니다.,숙의형 여론조사(Deliberative Polling®)는 시민들이 특정 사안에 대해 더 많은 정보를 얻었을 때 여론이 어떻게 달라질지 파악하기…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | experiential | discussion | ask | make | develop | academic
149,method,Forum Theatre,Forum theatre takes the form of a conventional play but reflects the participating community’s lived experience regarding a chosen issue and culminates in unresolved crisis. It aims to engage the public audience in understanding and exploring creative solutions to the issue.,https://participedia.net/method/149,2009-11-14,2020-06-23,,open_to,,,polarized,participatory, community, participantled,acting, storytelling, listenwatch,develop,,,포럼 극장,"포럼극은 전통적인 연극 형식을 취하지만, 참여 공동체의 삶의 경험을 바탕으로 특정 이슈를 다루고, 해결되지 않은 위기로 마무리됩니다. 포럼극은 관객들이 해당 이슈를 이해하고 창의적인 해결책을 모색하도록 유도하는 것을 목표로 합니다.","포럼극은 전통적인 연극 형식을 취하지만, 참여 공동체의 삶의 경험을 바탕으로 특정 이슈를 다루고, 해결되지 않은 위기로 마무리됩니다. 포럼극은 …",정책/의제 숙의·공론장(민주주의 피트니스),역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리,participatory | community | participantled | acting | storytelling | listenwatch | develop
150,method,Collaborative Governance,"Collaborative governance in its most general terms is a process which engages state and non-state actors to address an issue, whether they are public or private organisations, or individual citizens [1].",https://participedia.net/method/150,2010-02-07,2021-07-08,facetoface,both,,very_high,high,collaborative, planning, public_meetings,discussion, negotiation, ask,make, deliver, develop,협력적 거버넌스,협력적 거버넌스는 가장 일반적인 의미에서 공공 또는 민간 조직이든 개인 시민이든 관계없이 문제를 해결하기 위해 국가 및 비국가 행위자를 참여시키는 프로세스입니다[1].,협력적 거버넌스는 가장 일반적인 의미에서 공공 또는 민간 조직이든 개인 시민이든 관계없이 문제를 해결하기 위해 국가 및 비국가 행위자를 참여시키…,정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,collaborative | planning | public_meetings | discussion | negotiation | ask | make | deliver | develop
151,method,Practical Democracy,Practical Democracy lets candidates for public office deliberate on matters of public interest before they are chosen as representatives. It allows the entire electorate to participate to the extent of their ability and desire.,https://participedia.net/method/151,2010-02-21,2019-03-23,,,,,polarized,,,,,,,,,,실천적 민주주의,실천적 민주주의는 공직 후보자들이 대표로 선출되기 전에 공익에 관련된 사안들을 심의할 수 있도록 합니다. 또한 모든 유권자가 자신의 능력과 희망에 따라 참여할 수 있도록 합니다.,실천적 민주주의는 공직 후보자들이 대표로 선출되기 전에 공익에 관련된 사안들을 심의할 수 있도록 합니다. 또한 모든 유권자가 자신의 능력과 희망…,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
152,method,Community Auditing,"Community auditing is a participatory research method used by a community for it to evaluate its own priorities and resources, thereby identifying their needs and raising the community's awareness of their own skills and relevant issues facing them. ",https://participedia.net/method/152,2010-01-17,2021-02-25,facetoface,open_to,,,low,community, participantled, experiential,express, informal,,develop,,,커뮤니티 감사,"커뮤니티 감사란 지역 사회가 스스로의 우선순위와 자원을 평가하고, 이를 통해 지역 사회의 필요를 파악하며, 지역 사회 구성원들의 역량과 당면한 관련 문제에 대한 인식을 높이기 위해 사용하는 참여형 연구 방법입니다.","커뮤니티 감사란 지역 사회가 스스로의 우선순위와 자원을 평가하고, 이를 통해 지역 사회의 필요를 파악하며, 지역 사회 구성원들의 역량과 당면한 …",대화·경험학습·관계형 프로그램(자유스콜레),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),community | participantled | experiential | express | informal | develop
154,method,Civic Lottery,Civic lottery is a lottery-based tool for randomly selecting citizens to participate in democratic initiatives or even in public office in order to obtain a representative sample.,https://participedia.net/method/154,2010-02-23,2024-01-18,,,stratified,,not,,,,,,,,,,시민 복권,시민 복권은 대표성 있는 표본을 얻기 위해 민주적 발의안이나 공직에 참여할 시민을 무작위로 선정하는 복권 기반 도구입니다.,시민 복권은 대표성 있는 표본을 얻기 위해 민주적 발의안이나 공직에 참여할 시민을 무작위로 선정하는 복권 기반 도구입니다.,프로젝트 설계/커뮤니티 실험(혼합형),목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속),
155,method,Citizens' Jury,"A Citizens’ Jury is a small group of randomly selected citizens, representative of the demographics in the area, that come together to reach a collective decision or recommendation on a policy issue through informed deliberation. ",https://participedia.net/method/155,2010-05-21,2025-05-27,facetoface,limited,stratified,high,polarized,deliberative,,,discussion, ask,,make,,,시민 배심원단,"시민배심원단은 해당 지역의 인구 구성을 대표하는, 무작위로 선정된 소규모 시민들로 구성된 집단으로, 충분한 정보를 바탕으로 숙의하여 정책 문제에 대한 집단적인 결정이나 권고안을 도출합니다.","시민배심원단은 해당 지역의 인구 구성을 대표하는, 무작위로 선정된 소규모 시민들로 구성된 집단으로, 충분한 정보를 바탕으로 숙의하여 정책 문제에…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | discussion | ask | make
156,method,CHAT (CHoosing All Together) Simulation Exercise,“Choosing All Together” (CHAT) is a small group simulation exercise that engages groups of people in informed deliberations about spending priorities related to health. ,https://participedia.net/method/156,2024-06-26,2025-07-23,both,open_to,,high,polarized,deliberative, public, planning,discussion, express,,make, develop,,CHAT(모두 함께 선택하기) 시뮬레이션 연습,"“모두 함께 선택하기”(CHAT)는 소규모 그룹 시뮬레이션 활동으로, 사람들이 건강 관련 지출 우선순위에 대해 충분한 정보를 바탕으로 숙의하도록 유도합니다.","“모두 함께 선택하기”(CHAT)는 소규모 그룹 시뮬레이션 활동으로, 사람들이 건강 관련 지출 우선순위에 대해 충분한 정보를 바탕으로 숙의하도록…",정책/의제 숙의·공론장(민주주의 피트니스),발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보,deliberative | public | planning | discussion | express | make | develop
