ID,유형,제목(원문),설명(원문),URL,게시일,수정일,진행방식,개방성,모집방식,복잡성수준,양극화수준,방법유형1,방법유형2,방법유형3,상호작용1,상호작용2,상호작용3,목적1,목적2,목적3,제목(한국어-자동),설명(한국어-자동),요약(1문장-자동),워크북_추천사용상황,진행자_한줄팁,태그(필터용)
145,method,21st Century Town Meeting®,21st Century Town Meetings® are public forums that use modern communications technologies to allow large number of participants across various locations to simultaneously deliberate on the same issue in small groups. ,https://participedia.net/method/145,2009-07-29,2020-08-31,both,open_to,stratified,moderate,polarized,deliberative, collaborative,,discussion, ask,,make, develop,,"=IF(C2="""","""",GOOGLETRANSLATE(C2,""auto"",""ko""))","=IF(D2="""","""",GOOGLETRANSLATE(D2,""auto"",""ko""))","=IF(W2="""","""",LEFT(W2,80)&IF(LEN(W2)>80,""…"",""""))","=IF(REGEXMATCH(AA2,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA2,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA2,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA2,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",deliberative | collaborative | discussion | ask | make | develop
146,method,Participatory Budgeting,Participatory budgeting is a method of democratic decision-making whereby participants engage in deliberation regarding how public resources ought to be allocated and distributed. ,https://participedia.net/method/146,2009-08-22,2021-06-16,both,both,election,moderate,moderate,public, planning, longterm,discussion, negotiation, express,make, deliver,,"=IF(C3="""","""",GOOGLETRANSLATE(C3,""auto"",""ko""))","=IF(D3="""","""",GOOGLETRANSLATE(D3,""auto"",""ko""))","=IF(W3="""","""",LEFT(W3,80)&IF(LEN(W3)>80,""…"",""""))","=IF(REGEXMATCH(AA3,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA3,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA3,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA3,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",public | planning | longterm | discussion | negotiation | express | make | deliver
147,method,Deliberative Polling®,Deliberative Polling® is a unique form of political consultation which combines public opinion research and deliberation to identify how public opinion on an issue might appear if citizens were better informed.,https://participedia.net/method/147,2009-11-06,2025-10-15,both,limited,random,very_high,high,deliberative, experiential,,discussion, ask,,make, develop, academic,"=IF(C4="""","""",GOOGLETRANSLATE(C4,""auto"",""ko""))","=IF(D4="""","""",GOOGLETRANSLATE(D4,""auto"",""ko""))","=IF(W4="""","""",LEFT(W4,80)&IF(LEN(W4)>80,""…"",""""))","=IF(REGEXMATCH(AA4,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA4,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA4,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA4,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",deliberative | experiential | discussion | ask | make | develop | academic
149,method,Forum Theatre,Forum theatre takes the form of a conventional play but reflects the participating community’s lived experience regarding a chosen issue and culminates in unresolved crisis. It aims to engage the public audience in understanding and exploring creative solutions to the issue.,https://participedia.net/method/149,2009-11-14,2020-06-23,,open_to,,,polarized,participatory, community, participantled,acting, storytelling, listenwatch,develop,,,"=IF(C5="""","""",GOOGLETRANSLATE(C5,""auto"",""ko""))","=IF(D5="""","""",GOOGLETRANSLATE(D5,""auto"",""ko""))","=IF(W5="""","""",LEFT(W5,80)&IF(LEN(W5)>80,""…"",""""))","=IF(REGEXMATCH(AA5,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA5,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA5,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA5,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",participatory | community | participantled | acting | storytelling | listenwatch | develop
150,method,Collaborative Governance,"Collaborative governance in its most general terms is a process which engages state and non-state actors to address an issue, whether they are public or private organisations, or individual citizens [1].",https://participedia.net/method/150,2010-02-07,2021-07-08,facetoface,both,,very_high,high,collaborative, planning, public_meetings,discussion, negotiation, ask,make, deliver, develop,"=IF(C6="""","""",GOOGLETRANSLATE(C6,""auto"",""ko""))","=IF(D6="""","""",GOOGLETRANSLATE(D6,""auto"",""ko""))","=IF(W6="""","""",LEFT(W6,80)&IF(LEN(W6)>80,""…"",""""))","=IF(REGEXMATCH(AA6,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA6,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA6,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA6,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",collaborative | planning | public_meetings | discussion | negotiation | ask | make | deliver | develop
151,method,Practical Democracy,Practical Democracy lets candidates for public office deliberate on matters of public interest before they are chosen as representatives. It allows the entire electorate to participate to the extent of their ability and desire.,https://participedia.net/method/151,2010-02-21,2019-03-23,,,,,polarized,,,,,,,,,,"=IF(C7="""","""",GOOGLETRANSLATE(C7,""auto"",""ko""))","=IF(D7="""","""",GOOGLETRANSLATE(D7,""auto"",""ko""))","=IF(W7="""","""",LEFT(W7,80)&IF(LEN(W7)>80,""…"",""""))","=IF(REGEXMATCH(AA7,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA7,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA7,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA7,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",
152,method,Community Auditing,"Community auditing is a participatory research method used by a community for it to evaluate its own priorities and resources, thereby identifying their needs and raising the community's awareness of their own skills and relevant issues facing them. ",https://participedia.net/method/152,2010-01-17,2021-02-25,facetoface,open_to,,,low,community, participantled, experiential,express, informal,,develop,,,"=IF(C8="""","""",GOOGLETRANSLATE(C8,""auto"",""ko""))","=IF(D8="""","""",GOOGLETRANSLATE(D8,""auto"",""ko""))","=IF(W8="""","""",LEFT(W8,80)&IF(LEN(W8)>80,""…"",""""))","=IF(REGEXMATCH(AA8,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA8,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA8,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA8,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",community | participantled | experiential | express | informal | develop
154,method,Civic Lottery,Civic lottery is a lottery-based tool for randomly selecting citizens to participate in democratic initiatives or even in public office in order to obtain a representative sample.,https://participedia.net/method/154,2010-02-23,2024-01-18,,,stratified,,not,,,,,,,,,,"=IF(C9="""","""",GOOGLETRANSLATE(C9,""auto"",""ko""))","=IF(D9="""","""",GOOGLETRANSLATE(D9,""auto"",""ko""))","=IF(W9="""","""",LEFT(W9,80)&IF(LEN(W9)>80,""…"",""""))","=IF(REGEXMATCH(AA9,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA9,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA9,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA9,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",
155,method,Citizens' Jury,"A Citizens’ Jury is a small group of randomly selected citizens, representative of the demographics in the area, that come together to reach a collective decision or recommendation on a policy issue through informed deliberation. ",https://participedia.net/method/155,2010-05-21,2025-05-27,facetoface,limited,stratified,high,polarized,deliberative,,,discussion, ask,,make,,,"=IF(C10="""","""",GOOGLETRANSLATE(C10,""auto"",""ko""))","=IF(D10="""","""",GOOGLETRANSLATE(D10,""auto"",""ko""))","=IF(W10="""","""",LEFT(W10,80)&IF(LEN(W10)>80,""…"",""""))","=IF(REGEXMATCH(AA10,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA10,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA10,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA10,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",deliberative | discussion | ask | make
156,method,CHAT (CHoosing All Together) Simulation Exercise,“Choosing All Together” (CHAT) is a small group simulation exercise that engages groups of people in informed deliberations about spending priorities related to health. ,https://participedia.net/method/156,2024-06-26,2025-07-23,both,open_to,,high,polarized,deliberative, public, planning,discussion, express,,make, develop,,"=IF(C11="""","""",GOOGLETRANSLATE(C11,""auto"",""ko""))","=IF(D11="""","""",GOOGLETRANSLATE(D11,""auto"",""ko""))","=IF(W11="""","""",LEFT(W11,80)&IF(LEN(W11)>80,""…"",""""))","=IF(REGEXMATCH(AA11,""deliberative|participatory|collaborative|public""),""정책/의제 숙의·공론장(민주주의 피트니스)"",IF(REGEXMATCH(AA11,""informal|experiential|storytelling|acting|participantled""),""대화·경험학습·관계형 프로그램(자유스콜레)"",""프로젝트 설계/커뮤니티 실험(혼합형)""))","=IF(REGEXMATCH(AA11,""discussion|negotiation""),""발언 시간 균형 + 요약 라운드(Looping)로 안전감 확보"",IF(REGEXMATCH(AA11,""acting|forum""),""역할·장면 규칙을 먼저 합의하고 디브리핑(감정-의미-행동)으로 마무리"",""목표(결정/학습/관계)부터 합의하고 산출물 정의(메모/합의문/실천약속)""))",deliberative | public | planning | discussion | express | make | develop
